C:\Users\Lenovo\.conda\envs\d2l_env\python.exe E:\python\大模型应用开发\实验二\nanoGPT-master\train.py 
tokens per iteration will be: 4,096
found vocab_size = 65 (inside data\shakespeare_char\meta.pkl)
Initializing a new model from scratch
number of parameters: 10.65M
num decayed parameter tensors: 26, with 10,740,096 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
using fused AdamW: True
E:\python\大模型应用开发\实验二\nanoGPT-master\model.py:64: UserWarning: 1Torch was not compiled with flash attention. (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\builder\windows\pytorch\aten\src\ATen\native\transformers\cuda\sdp_utils.cpp:555.)
  y = torch.nn.functional.scaled_dot_product_attention(q, k, v, attn_mask=None, dropout_p=self.dropout if self.training else 0, is_causal=True)
iter 2940: loss 1.3427, time 21.17ms, mfu 4.40%
iter 2950: loss 1.3300, time 30.22ms, mfu 4.27%
iter 2960: loss 1.3276, time 24.34ms, mfu 4.22%
iter 2970: loss 1.3587, time 17.83ms, mfu 4.32%
iter 2980: loss 1.3932, time 16.03ms, mfu 4.47%
iter 2990: loss 1.3441, time 22.42ms, mfu 4.44%
step 3000: train loss 1.2419, val loss 1.5059
saving checkpoint to out-shakespeare-char
iter 3000: loss 1.3247, time 2869.91ms, mfu 4.00%
iter 3010: loss 1.3545, time 16.47ms, mfu 4.17%
iter 3020: loss 1.3296, time 24.04ms, mfu 4.14%
iter 3030: loss 1.2855, time 16.00ms, mfu 4.30%
iter 3040: loss 1.2752, time 28.01ms, mfu 4.21%
iter 3050: loss 1.2617, time 30.51ms, mfu 4.09%
iter 3060: loss 1.2623, time 26.26ms, mfu 4.04%
iter 3070: loss 1.2750, time 18.00ms, mfu 4.15%
iter 3080: loss 1.3492, time 31.00ms, mfu 4.04%
iter 3090: loss 1.2373, time 18.99ms, mfu 4.12%
iter 3100: loss 1.3394, time 17.60ms, mfu 4.24%
iter 3110: loss 1.3703, time 35.69ms, mfu 4.08%
iter 3120: loss 1.2567, time 18.33ms, mfu 4.18%
iter 3130: loss 1.2930, time 28.40ms, mfu 4.09%
iter 3140: loss 1.2867, time 23.66ms, mfu 4.07%
iter 3150: loss 1.2210, time 15.46ms, mfu 4.27%
iter 3160: loss 1.2981, time 26.08ms, mfu 4.20%
iter 3170: loss 1.3368, time 17.36ms, mfu 4.32%
iter 3180: loss 1.3143, time 14.00ms, mfu 4.55%
iter 3190: loss 1.2804, time 21.00ms, mfu 4.54%
iter 3200: loss 1.2877, time 31.32ms, mfu 4.38%
iter 3210: loss 1.3129, time 14.51ms, mfu 4.59%
iter 3220: loss 1.3171, time 30.89ms, mfu 4.43%
iter 3230: loss 1.2849, time 14.30ms, mfu 4.64%
iter 3240: loss 1.3458, time 16.00ms, mfu 4.76%
step 3250: train loss 1.2214, val loss 1.4986
saving checkpoint to out-shakespeare-char
iter 3250: loss 1.3248, time 2862.69ms, mfu 4.28%
iter 3260: loss 1.2950, time 17.40ms, mfu 4.39%
iter 3270: loss 1.3198, time 22.00ms, mfu 4.38%
iter 3280: loss 1.2930, time 14.52ms, mfu 4.58%
iter 3290: loss 1.2490, time 14.53ms, mfu 4.76%
iter 3300: loss 1.3292, time 24.48ms, mfu 4.67%
iter 3310: loss 1.2661, time 14.44ms, mfu 4.85%
iter 3320: loss 1.3134, time 17.92ms, mfu 4.88%
iter 3330: loss 1.3104, time 14.29ms, mfu 5.04%
iter 3340: loss 1.2626, time 14.16ms, mfu 5.20%
iter 3350: loss 1.3316, time 12.85ms, mfu 5.40%
iter 3360: loss 1.3288, time 21.58ms, mfu 5.29%
iter 3370: loss 1.2788, time 25.85ms, mfu 5.13%
iter 3380: loss 1.3438, time 27.46ms, mfu 4.95%
iter 3390: loss 1.2729, time 32.56ms, mfu 4.74%
iter 3400: loss 1.2727, time 17.00ms, mfu 4.82%
iter 3410: loss 1.2632, time 14.24ms, mfu 4.99%
iter 3420: loss 1.3538, time 14.58ms, mfu 5.13%
iter 3430: loss 1.2069, time 14.00ms, mfu 5.28%
iter 3440: loss 1.2190, time 22.81ms, mfu 5.16%
iter 3450: loss 1.2930, time 31.08ms, mfu 4.95%
iter 3460: loss 1.2721, time 17.56ms, mfu 4.98%
iter 3470: loss 1.3305, time 13.49ms, mfu 5.17%
iter 3480: loss 1.3069, time 16.49ms, mfu 5.22%
iter 3490: loss 1.3007, time 57.73ms, mfu 4.86%
step 3500: train loss 1.2025, val loss 1.4978
saving checkpoint to out-shakespeare-char
iter 3500: loss 1.2944, time 8877.50ms, mfu 4.38%
iter 3510: loss 1.2903, time 54.24ms, mfu 4.11%
iter 3520: loss 1.3176, time 54.71ms, mfu 3.87%
iter 3530: loss 1.2862, time 60.76ms, mfu 3.64%
iter 3540: loss 1.2917, time 60.03ms, mfu 3.43%
iter 3550: loss 1.2634, time 48.25ms, mfu 3.28%
iter 3560: loss 1.2764, time 66.48ms, mfu 3.09%
iter 3570: loss 1.2908, time 65.28ms, mfu 2.92%
iter 3580: loss 1.2656, time 62.97ms, mfu 2.78%
iter 3590: loss 1.2384, time 59.03ms, mfu 2.66%
